Agha Khan Comments,Agha Khan Ratings,Agha Khan Sentiment,Coptic Comments,Coptic Ratings,Coptic sentiment,Kenyatta Comments,Kenyatta Rating,Kenyatta sentiment,Kenyatta University Comments,Kenyatta University Ratings,Kenyatta sentiment,Mama Lucy Comments,Mama Lucy Ratings,Mama Lucy sentiment,Mbagathi Comments,Mbagathi Ratings,Mbagathi sentiment,Mshah Comments,Mshah Ratings,Mshah sentiment,Nairobi Hospital Comments,Nairobi Hospital Rating,Nairobi sentiment,Nairobi West Comments,Nairobi West Ratings,Nairobi West sentiment,Pumwani Comments,Pumwani Ratings,Pumwani sentiment,,REVIEW,SENTIMENT,RATING
"I got the best services. The environment is also serene, you won't even realize that you're in a hospital. I felt at home here. I was attended to without an appointment.",5,positive,Great Nursing and hospitality services. They are always willing to assist in whatever they can. …,3,positive,"Kenyatta National Hospital provides a pleasant environment and boasts highly qualified doctors, ensuring quality medical care. However, the inconsistency in staff behavior is a notable issue, with some being friendly while others display �",2,positive,I like that the hospital is state-of-the-art and very clean and modern.the staff are also quick in responding to requests and my check-out process took considerably less time than at other similar caliber hospitals.however they don't change …,4,positive,"Place was pretty quiet, very clean and well-ventilated with friendly personnel and relatively quick service (queues were not too long). I however give it 4 stars because I couldn't get some tests done due to shortage of reagents.",4,positive,"I like the hospital soo much it is friendly and cost little to the affordability of a local meanainchi
Almost all test that you require are available …",5,positive,"The nursing care is very friendly. Big shout out to nurses at the chemotherapy center. They make you feel at home despite what's happening.
I also appreciate billing which is very smooth, the pharmacists and the service staff. Considering what one comes to get there, they make the experience bearable and friendly.",5,positive,"Good customer service,location is perfect within the Hospital's vicinity. Interior decor is superb especially the concrete planters on each table.
Most institutions have workers who do not understand courtesy but Nairobi hospital understands importance of courtesy right from the gate I am really impressed !",5,positive,"I had an excellent experience at The Nairobi West Hospital. The staff was incredibly attentive and caring, ensuring I felt comfortable throughout my visit. The facility was spotless, and the efficiency of the service was impressive. The …",5,positive,I enjoyed their service i can't complain well served everyone was just friendly,5,positive,,"I got the best services. The environment is also serene, you won't even realize that you're in a hospital. I felt at home here. I was attended to without an appointment.",positive,5
"The Aga Khan University Hospital in Parklands, Nairobi is a medical institution that impresses on many fronts. The service was outstanding; from the moment of arrival, the staff exhibited an exceptional level of professionalism and �",5,positive,"I was transferred to this hospital via ambulance from the airport due to severe hypotension, did not having anything good to say from a Dr who uses same needle for three different areas once he missed the vein and a rude nurse who refused …",1,negative,"I must commend Kenyatta National Hospital for housing exceptional doctors who exhibit commendable expertise and professionalism. The medical care provided is of high quality, and I have confidence in the competence of the healthcare �",3,positive,"Kenyatta at nice it cute and safe, we are here for a leadership program with young African leadership initiative east Africa YALI",4,positive,"The institution is friendly and their services are fantastic, although it's a bit crowded because its a public instruction",2,positive,"Generally good hospital, but witnessed wrong and unacceptable reception in one of the consultation rooms- in fact harassed",1,positive,"I had a very nice stay at the hospital. The nurses were God sent from the triage to the wards. They attended to all so well without complaining. The billing was so smooth. The food was well served. Despite not being well, I enjoyed the two �",5,positive,"Service has really picked up in speed, especially if going in for consultation. Expect some delay while awaiting to be called at the pharmacy tho.",4,positive,Probably one of the trusted and most efficient healthcare providers in the country. I'd be happy to recommend anyone looking for specialised cancer care services,5,positive,"The hospital is well equipped,friendly qualified doctors and nurses,super clean,no sharing of beds,hot shower,amongst other impressive things.
The hospital's services are top notch having experienced firsthand;i totally recommend.",4,positive,,"The Aga Khan University Hospital in Parklands, Nairobi is a medical institution that impresses on many fronts. The service was outstanding; from the moment of arrival, the staff exhibited an exceptional level of professionalism and �",positive,5
Horrible experience with the A&E. Not an ounce of care at all. If it was possible to rate this 0 I would. Literally the person I brought who was bleeding was left at the A&E entrance for 12 minutes after the bell was rang. Had to come in to �,1,positive,"Wuuueeeehhh....
The place is amazing..I mean the looks😂😂😂🖐️.
The staff are a whole different story. …",3,negative,This hospital environment and the services have improved tremendously!,5,positive,"Very modern and clean. Unfortunately, a very warped visitation policy. One and a half hours in the evening, but you can only get in two at a time. …",5,positive,The services are very slow with only one lady serving food and as well taking patients for x-rays and transferring patients from theater to wards . Something needs to be done about this .,1,negative,"Worst and rude staff, left even without treatment.
Never coming here again 🤬 …",3,negative,"MP shah Hospital is simply the best.
Your customer service is out of this world.Best in class.
All the staff I encountered today were very kind and friendly.
Keep up the great job you are doing.",5,positive,"Come here if you want to wait 1 hour for admission, 9 hours to get a room despite being booked for surgery, and to crown it all off a 4.5 hrs wait to get discharged. Extremely slow personnel and systems. I had to go to my car and threaten …",1,negative,"The experience was horrible. My mom was there from 8a.m and was delayed to see the doctor and even have  her tests run for hours. The consultant was very mean and abusive, both verbal and physical. He literally pushed my mom from his office …",1,negative,"Currently Pumwani is very clean and has professionals unlike before. It is clean and very much reformed.
The best.",5,positive,,Horrible experience with the A&E. Not an ounce of care at all. If it was possible to rate this 0 I would. Literally the person I brought who was bleeding was left at the A&E entrance for 12 minutes after the bell was rang. Had to come in to �,positive,1
"This used to be a very great patient-centered hospital. Today the hospital has joined the bandwagon of substandard business healthcare providers. Why?
1. Why is the hospital charging fresh consultation on lab results review and �",1,positive,"I've visited the hospital twice, first time all was well. The second visit not so much, the doctor was honestly great, he explained the details well but when I went to do the tests as advised I had a misunderstanding with one of the nurses …",1,positive,Am at 6 Doctor plaza where I need to do my lab test. I came early so that am able to see the doctor and go back to work. I was told the lab opens by 8 am and the security keeps telling me it's ???. I was here by 5:45 in the morning and it �,1,negative,"Very modern and clean, though a warped visitation policy. Evening is 1.5 hrs, two visitors at a time. Needs 20 min total, on average, to and from the ward (including 10 min with the patient) in a hurried visit. …",1,positive,"Poor management, rude especially on registration desk, I don't care doctors, always not on duties, If you are using NHIF card you will not receive all medicine you need they be like (nunuwa hii apo inje😔)... …",1,negative,The Service Is Not Very Good But They Try Their Level Best.,3,positive,"The Registration section was very good , there's a guy called Daniel he's very fast and good. The receptionist was great. The Doctor's diagnosis is very nice , Dr. Patel , Dr. Priyanka kudos to them I appreciate their services on that day. �",4,positive,The Nairobi Hospital has very good services. Their doctors are quick to attend to patients and very caring. The hospital is also well equipped and clean. I give it 5 stars.,5,negative,"I visited the hospital on 6.12.2023. I was there by 8. The lady at registration desk counter 2 from the left, was friendly and quick. I saw the specialist at 10. I was sent to the pharmacy. I waited for more than 2 hours to be served. I was …",2,negative,"Friendly guards. Limited parking space to staff. Bearing a maternity ward, needs more steady check outs",5,positive,,"This used to be a very great patient-centered hospital. Today the hospital has joined the bandwagon of substandard business healthcare providers. Why?
1. Why is the hospital charging fresh consultation on lab results review and �",positive,1
"Parking.. Hectic
Reception takes over an hour to just register and pay. Then waiting for triage is another headache. The only smooth part is being at the Doctor's office. Which �",3,positive,"The hospital is amazing. Its an awesome place they have renovated it top-notch. The doctors and nurses offer the best care and services to the best of their ability, making you feel at home and that you matter. My problem was with the …",4,positive,The hospital is huge and expansive. The aesthetics are not at all the priority of the hospital though it is the largest referral hospital in the country. It is a respectable institution.,3,negative,I went late at night. I was attended to immediately at the emergency area. Great doctor was conversational and engaging. I went to the sonogram however who was very distant and indifferent. I found him quite rude actually. He was called …,3,positive,"One particular nurse at the reception in the lab area was particularly rude and she does not seem to care if you are critically ill. If you value your health, look for some place else coz you might die while waiting to be served. Nurses are rude and lack empathy.  Seeking health services here should be added in the 1000 ways to die.",3,negative,Good service in better mode needing best one,1,positive,"I love the services I received from the facility. The nurses are God sent, may God bless them.
Billing section, thank you so much for your services. You are very efficient and �",5,positive,"Great and excellent service. Took less than an hour to get admitted along with the mandatory COVID test. I was admitted in the Presidential St. Michael Suite and the nurses were attentive, supportive with the best service. Discharge was …",4,positive,The service was impeccable. I'm amazed how fast we were served and the staff are very friendly.I definitely choose NWH as my hospital of choice.Thanks Sis.Valentine and Madam Susan for hosting us so well.,5,positive,"Location was good.
Facility has improved",5,positive,,"Parking.. Hectic
Reception takes over an hour to just register and pay. Then waiting for triage is another headache. The only smooth part is being at the Doctor's office. Which �",positive,3
I have never seen this bad hospital in my life they only want money they don't care about anything stupid hospital. I will show what I am going to do stupid hospital,1,positive,"The doctors are great. But the lab guy by the name Chris is so rude with a 'don't-care' attitude. He made us pay excess money for lab tests, didn't want to be corrected for wrong calculations. I wonder, why would he wake up very early to go …",1,positive,"Hospital includes a great capability and know how where such great Human Resources need financial resources to keep using latest technologies
Accessible and there is parking space close to the building �",3,positive,This is my third experience at this place. The facility is wonderful but their systems and setups are atrociously under par. Today I came for clinic the lines at registration are 2hrs long because they only assign 2 staff for clinics …,5,positive,"Go here at your own peril,a government hospital that is shunned upon because of its poor services and incompetent staff.",4,negative,Best service in record time. Friendly and very professional staff,5,positive,"The best maternity facility..
I enjoyed and loved their carr during my son's admission at PICU.....
One child..one room.and 24hrs nurse monitoring... �",5,positive,"St. Georges ward amazing staff
Quality health services that I received after being admitted from a fatal accident. The doctor's did an excellent job and nurses provided quality care every minute. May God bless you'll.
Thank you",5,negative,The reception is nice and welcoming.The officers offering the services are well dressed and speak nicely while offering the services hence easy deliverance.The machines are of best quality and are well maintained.The chemist is full of medicine hence the best medicine customer service.The hospital is clean and well maintained .,5,positive,Biggest maternity Wing in Nairobi city,4,positive,,I have never seen this bad hospital in my life they only want money they don't care about anything stupid hospital. I will show what I am going to do stupid hospital,positive,1
"The pharmacy is the most annoying place in Aga Khan hospital, you have so many counters which actually are doing nothing or no work. I hope you can improve on the rate of service in the pharmacy especially for out patients. Thank you",2,positive,2 hours and a few minutes after my arrival on the 29 December all I had managed to get done was having my file retrieved (31 minutes after my arrival) and passing through the triage office (65 minutes after my arrival). If anyone is in …,2,negative,Went here with an organisation called Gold Ribbon to visit kids battling cancer. So much live from the kids and the nurses were so good to allow and plan for this visit. It was a wonderful experience playing with them and putting a smile on a kid's face,5,positive,"An amazing job the government of Kenya did here. Very clean, state of the art, just amazing. The staff, especially nurses need to realize that this is an upgrade from the old facilities hence also need an upgrade in attitude and how they treat patients at the hospital",3,positive,A nice hospital but get there as early as poss6 due to long quees,5,positive,Friendly doctors and nurses can't compare with mama lucy,1,positive,"Thank you for treating us kindly during our daycare operation. Special mention goes to Nurse Priscah Adams, for being compassionate, kind and considerate. Thanks.",5,positive,Nurse by the name ESTHER  NJUNGE St. John’s ward very very rude arrogant woman. She doesn’t need to be working in this hospital. Doesn’t care about patients. She doesn’t guide patients and their loved ones. She shouts at customers and …,1,negative,The doctors and nurses were extremely nice and I was given the medication I required and and treated without a hustle...I was extremely impressed by their professionalism and customer service.,5,positive,A hospital with dignity and well qualified practitioners,3,positive,,"The pharmacy is the most annoying place in Aga Khan hospital, you have so many counters which actually are doing nothing or no work. I hope you can improve on the rate of service in the pharmacy especially for out patients. Thank you",positive,2
How did a counselling session go from 4500 to 8500 in one year? Its sad to see the Aga Khan go down the same route as Nairobi Hospital and Nairobi Womens. Is this new management? They'll run the hospital into the ground.. Anyway on to the next,2,positive,A good modern facility in terms of structure but Never judge a book by the cover .... The gynaes are not passionate but professional business men who see young naive pregnant mothers as customers. They give you information that favors their …,1,negative,"The place is like a maze. Navigating within the facility is very difficult, time consuming, and frustrating. You may end up queuing in the wrong place for hours. Few doctors and nurses are kind and really nice, majority have no empathy at all.",1,negative,"Worst hospital ever,went to visit my nephew at the oncology department.A nurse came to take a sample of his blood he left a needle cap and a used cotton wool  on the patient's bed,asked one of the soldiers if we could speak to a doctor coz …",4,negative,"They have highly upgraded in terms of services they offer to their patients plus good coordination and cooperation among all those offering different services in the hospital ranging from doctors, nurses, security guards and other subordinate staff members.",5,positive,Good place for medication but queue is wanting,4,positive,"I don't know how I can give Mp shah 0 stars. I gave birth at the facility 9 months ago, just starting to recover from the trauma. My baby was fine throughout my pregnancy and full term 39 wks 5 days. Call it negligence but during labour I �",1,negative,"Located along Argwings Kodhek Rd, approximately 4km from Nairobi CBD.",1,positive,I came to deliver to your facility and i really loved your services.Dr j ochieng is the best .al forever choose this facility.my other baby also definitely come back here..nurses are really helpful and supportive,5,positive,Pumwani maternity every newborn must go to NBU coz nurses are there to get bribes and leave you to die.....a cs mother bribed a nurse coz she was told she must give money to get the service..the mother ends up losing the baby....why pumwani...from soldiers to doctors....those innocent souls will haunt you forever...... pthoooo,5,negative,,How did a counselling session go from 4500 to 8500 in one year? Its sad to see the Aga Khan go down the same route as Nairobi Hospital and Nairobi Womens. Is this new management? They'll run the hospital into the ground.. Anyway on to the next,positive,2
I am booked for a procedure at 8:30. I arrive at the hospital at 7:50. The short procedure is done 11:00 i.e 3hrs later. Then I wait for dugs from their pharmacy for 2.5hrs and only one is available out of 3 prescibed. Then another one hour �,3,positive,"Thumbs up to the doctors. Nurse Ann, emergency room is a nurse by passion. How she executes her duties shows commitment to helping patients feel better. God bless her. …",3,positive,"I last visited Kenyatta Hospital in 2014 and what I saw there , did not sit right with me. A friend encouraged me recently to visit the Youth Centre to seek guidance for my teenage girls and I was wonderfully surprised. The place is clean, �",5,positive,"Very clean hospital,the staff and the nurses were very helpful and polite
However the sonographer was very rude,kept on yelling at me and was also impatient and seemed to not know what he was doing.He made the whole process very uncomfortable",4,positive,I've gained so much medical knowledge from the different patients we have received. It's a place that ensures patient health is prioritised.,3,positive,No 👎 coordination and also poor coordination of staff and workers. …,4,negative,"From the entrance to the hospital itself, everything is just amazing. Very organized. Kind security guys, ready to direct you to where you are going. You kind of get assured that you will be taken good care of. That kind of assurance comes from teamwork. Yours is a top notch. ???? �",5,positive,"The hospital is very big, but the charges are very confusing. Today, I went to the hospital with my wife for routine blood examination and my wife for bone density examination. At first, I had to pay 43,000 ksh, but later cashier said she …",1,positive,"I will NEVER forget the hell my dad went through in your hands!!! I will NEVER forget the meanness, the extra slow services, the 'below the bar"" nursing care, the unkind receptionists and cashiers et cetera. The attitude starts right at the …",1,negative,It's a good hospital...allot of reforms have been made there,1,positive,,I am booked for a procedure at 8:30. I arrive at the hospital at 7:50. The short procedure is done 11:00 i.e 3hrs later. Then I wait for dugs from their pharmacy for 2.5hrs and only one is available out of 3 prescibed. Then another one hour �,positive,3
It was 22 years ago and I was a a 20 year old British visitor in Nairobi. This wonderful hospital saved my life from falciparum malaria and septicaemia. I am forever grateful to them. ???????????? �,5,positive,"Please i do not recommend anyone to go to this hospital, the staff are horrible, rude and lack empathy, the nurses and doctor do not care they are just after money and not the patient welfare, the hospital feels more like a public hospital …",1,negative,"When visiting a patient there, finding parking was a hustle. Check in lines for when you enter the hospital walking were looooong, you also have to queue to use the lifts. The private ward was really nice though, with good views of Nairobi. �",4,positive,"The place is amazing, offers good and timely services.

© Captured by Pixtiles Images: Photography and Videography for Koito, Ruracio, Wedding, Pre-Wedding, Corporate events, and drone for Aerial Footage.",1,positive,"Workers here and healthcare workers some how to relaxant, kept in waiting bay for long but we were attended well",4,negative,"Very clean environment, well  organised
Well distributed pay and information points,registration desk staff could do better  ..for a public county hospital..Well done..",5,positive,"Excellent customer service.Kudos!!!
Please have your staff put on the name tags we would really love to shout out they names for the excellent service.",5,positive,"If you want to die, go to Nairobi Hospital.
Poor, delayed service!
Unless you know a guy who knows a guy, be ready to wait for hours when you go …",1,negative,"Professional medical team and courteous staff members.
Lack of basic necessities such as tissue paper and drinking water in  a patients ward. …",4,positive,"This is the best maternity hospital ever. I got the very best services from the doctors and the nurses who were very friendly. If am not wrong, the doctor who attended to me was doctor Paul,he was very patient and had a good heart. May GOD bless you . #Kudos team Pumwani Maternity Hospital.",5,positive,,It was 22 years ago and I was a a 20 year old British visitor in Nairobi. This wonderful hospital saved my life from falciparum malaria and septicaemia. I am forever grateful to them. ???????????? �,positive,5
